Mac-ID,SMILES,Avg-B-Score,Avg-Res-Growth,Active
MAC-0001097,"C(c1nc(ncc1)Oc1ccc(/C=N/NC(=S)Nc2cc(ccc2Cl)Cl)cc1)(F)(F)F	",6.0305,0.95,0
MAC-0001098,"C(=S)(N1CCN(c2nc(C(F)(F)F)ccn2)CC1)Nc1c(N2CCOCC2)cccc1	",0.0425,0.9815,0
MAC-0001110,"n1c(nccc1C(F)(F)F)c1ccccc1	",-0.8085,0.943,0
MAC-0001111,"[N+](=O)(c1cc(c(Sc2c(N)cccc2)cc1)NC(=O)C)[O-]	",1.7775,0.985,0
MAC-0001122,"S(=O)(=O)(c1c(c(Cl)ccc1)Cl)N1CCN(C(=O)c2sccc2)CCC1	",-0.01,0.9745,0
MAC-0001123,"C(=C\N(C)C)(\C#N)/c1cc(C(F)(F)F)ccc1	",-0.148,0.978,0
MAC-0152161,"c1(c(cc(cc1)Br)Cl)N/C=C/C(=O)C(F)(F)F	",5.067,1.094,0
MAC-0001124,"N1(Cc2c(F)cccc2)CCN(CC1)CCO	",0.8155,1.0025,0
MAC-0001127,"N1(C(=O)OCC)CCN(CC(COc2ccc(OC(F)(F)F)cc2)O)CC1	",0.2955,0.886,0
MAC-0001128,"C(=O)(N1CCN(CC(COc2cc(Cl)c(cc2)Cl)O)CCC1)c1sccc1	",-3.506,0.9355,0
MAC-0001130,"S(=O)(=O)(N1CCN(C(=O)OC(C)(C)C)CCC1)c1ccc(cc1)Cl	",2.514,0.964,0
MAC-0001133,"S(=O)(=O)(NC(=O)NCCNC(=O)OC(C)(C)C)c1ccc(cc1)C	",3.496,0.992,0
MAC-0001137,"C(=S)(Nc1c(cc(cc1)OC)OC)NCCNC(=O)OC(C)(C)C	",-0.934,0.9535,0
MAC-0001140,"C(=S)(N1CCN(C(=O)OC(C)(C)C)CCC1)Nc1c(cc(cc1)C)C	",1.0335,0.9745,0
MAC-0001145,"C(=S)(NCC(C)C)NCCNC(=O)OC(C)(C)C	",-0.506,1.0305,0
MAC-0001146,"[N+](=O)(c1ccc(C(=O)N2CCN(C(=O)OC(C)(C)C)CCC2)cc1)[O-]	",1.2015,1.02,0
MAC-0001152,"C(=S)(NCc1ccccc1)NCCNC(=O)OC(C)(C)C	",-0.662,0.893,0
MAC-0001153,"C(Oc1ccc(C(=O)NCCNC(=O)OC(C)(C)C)cc1)(F)(F)F	",0.1055,0.985,0
MAC-0001154,"C(=O)(Nc1c2c(ccc1)cccc2)NCCC(=O)OC(C)(C)C	",0.114,0.9565,0
MAC-0001155,"C(=O)(Nc1ccccc1)NCCNC(=O)OC(C)(C)C	",-0.6055,0.9675,0
MAC-0001157,"C(=S)(Nc1c(Cl)cccc1C)NCCNC(=O)OC(C)(C)C	",0.0525,0.978,0
MAC-0001158,"C(=O)(OC(C)(C)C)NCC/N=C/c1ccc(Cl)cc1	",0.497,0.985,0
MAC-0001172,"N1(C(=O)C2(CC1=O)CCCC2)CCNC(=O)OC(C)(C)C	",-0.2005,1.0485,0
MAC-0001173,"[N+](=O)(c1cc(/C=N/CCNC(=O)OC(C)(C)C)ccc1)[O-]	",0.782,1.038,0
MAC-0001178,"S(=O)(=O)(c1sc(c2nc(sc2)C)cc1)Oc1c(cc(cc1)C)C	",2.807,0.946,0
MAC-0001181,"[N+](=O)(c1cc(C(F)(F)F)ccc1NCCNC(=O)OC(C)(C)C)[O-]	",0.0265,1.006,0
MAC-0001184,"c1([N+](=O)[O-])c(N2CCN(C(=O)OC(C)(C)C)CCC2)ccc(C(F)(F)F)c1	",-4.193,0.939,0
MAC-0001194,"C(c1cc(c(cc1)NCCNC(=O)OC(C)(C)C)N)(F)(F)F	",0.417,0.999,0
MAC-0001196,"S(=O)(=O)(NC(=O)N1CCN(c2c([N+](=O)[O-])cccn2)CCC1)c1ccc(cc1)C	",-0.4475,0.9955,0
MAC-0001200,"n1c(snc1c1ccccc1)N1CCN(C(=O)Nc2c(Cl)cccc2)CCC1	",-0.9255,0.9955,0
MAC-0001210,"C(=S)(Nc1cc(cc(c1)C)C)NCCCNC(=O)OC(C)(C)C	",-0.199,1.0695,0
MAC-0001211,"C(c1ccc(/C=N/CCCNC(=O)OC(C)(C)C)cc1)(F)(F)F	",0.921,0.9775,0
MAC-0001214,"c1(oc(nn1)SCC=C)c1c(nc(C(F)(F)F)cc1)C	",-1.6685,0.8855,0
MAC-0001222,"n1c(c(c(nc1SCC(=O)c1sccc1)C)CC=C)O	",1.593,0.9565,0
MAC-0001225,"S(=O)(=O)(NC(=O)N1CCN(c2nc(C(F)(F)F)ccn2)CCC1)c1ccc(cc1)C	",-0.342,0.946,0
MAC-0001232,"n1(c(nc2c(c1=O)cccc2)SCC(=O)c1sccc1)c1cnccc1	",-1.0585,0.9635,0
MAC-0152191,"c1(c2cccs2)nc(sc1)Nc1cccnc1	",0.3355,0.981,0
MAC-0152192,"c1(c(cccc1)C(=O)O)C(=O)NNC(=O)OC(C)(C)C	",0.5485,0.9985,0
MAC-0001239,"C(=S)(Nc1c(cc(cc1)C)C)NCCCNC(=O)c1sccc1	",-3.2705,1.0375,0
MAC-0001240,"c1(c(cc(cc1)Cl)Cl)CN1CCCNCC1	",0.215,0.9385,0
MAC-0001246,"C(=S)(N1CCN(Cc2c(cc(cc2)Cl)Cl)CCC1)Nc1cnccc1	",0.098,0.868,0
